,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
260,1246242,0.5900000000000001,False,Oud-Noord,52.39238,4.92899,Entire home/apt,4,3,3,14,299.0,2,30,True,0,0,4.78,False,74.75,598.0,0.06,0.24,0.17,4.99,,
261,1250364,0.15,False,De Pijp - Rivierenbuurt,52.35263,4.89093,Entire home/apt,4,3,3,10,260.0,3,1125,True,0,0,4.84,False,65.0,780.0,0.07,0.16,0.23,4.99,0.40821917808219177,1300.0
262,1271700,0.44,False,De Baarsjes - Oud-West,52.36062,4.86901,Entire home/apt,4,3,3,10,300.0,3,14,True,0,1,4.86,False,75.0,900.0,0.13,0.23,0.23,4.99,0.00821917808219178,1500.0
263,1272352,1.0,False,Bos en Lommer,52.37537,4.86019,Private room,2,1,1,7,127.0,3,100,True,0,4,4.67,True,63.5,381.0,0.07,0.13,0.15,4.99,0.473972602739726,654.3013698630137
264,1291054,1.0,False,Noord-West,52.42397,4.88864,Hotel room,2,1,1,1,81.0,3,60,True,1,1,4.51,True,40.5,243.0,0.06,0.11,0.16,4.99,0.7808219178082192,398.1917808219178
265,1311373,0.25,False,De Baarsjes - Oud-West,52.37108,4.87389,Entire home/apt,4,3,6,2,280.0,4,1125,True,0,0,4.89,True,70.0,1120.0,0.09,0.22,0.2,4.99,0.0136986301369863,1445.2876712328766
266,1315392,0.6599999999999999,True,Centrum-West,52.38123,4.88619,Entire home/apt,2,1,1,4,140.0,7,180,True,2,1,4.75,False,70.0,980.0,0.06,0.16,0.15,4.99,0.5123287671232877,532.5342465753424
267,1316990,0.53,True,Centrum-West,52.38145,4.8849,Entire home/apt,4,2,2,8,196.0,7,180,True,2,2,4.82,False,49.0,1372.0,0.06,0.17,0.19,4.99,0.07945205479452055,913.082191780822
268,1320353,0.25,True,Centrum-West,52.3815,4.88538,Entire home/apt,2,1,1,1,110.0,7,180,True,12,0,4.9,False,55.0,770.0,0.07,0.14,0.18,4.99,0.684931506849315,566.986301369863
269,1320438,0.17,True,Centrum-West,52.3814,4.88553,Entire home/apt,2,1,1,11,125.0,7,180,True,4,0,4.88,False,62.5,875.0,0.05,0.15,0.18,4.99,0.6904109589041096,625.0
270,1321735,0.62,True,Centrum-West,52.38295,4.88765,Entire home/apt,3,2,2,6,160.0,7,180,True,10,0,4.62,False,53.33,1120.0,0.07,0.14,0.19,4.99,0.6465753424657534,540.3013698630137
271,1328500,0.22,False,De Baarsjes - Oud-West,52.36871,4.87207,Entire home/apt,4,4,4,13,400.0,2,30,True,0,0,4.2299999999999995,True,100.0,800.0,0.09,0.19,0.22,10.99,,
272,1331157,0.29,False,IJburg - Zeeburgereiland,52.34861,5.00784,Entire home/apt,4,3,3,9,193.0,3,14,True,0,0,4.87,False,48.25,579.0,0.08,0.18,0.2,4.99,0.4410958904109589,963.013698630137
273,1338633,0.38,False,Oud-Noord,52.39319,4.9435,Private room,1,1,1,5,59.0,4,5,True,1,1,4.19,False,59.0,236.0,0.06,0.14,0.16,2.99,0.2876712328767123,295.0
274,1350096,1.0,True,Oud-Oost,52.35719,4.92193,Private room,2,1,1,1,115.0,1,29,True,5,4,4.86,True,57.5,115.0,0.08,0.18,0.15,4.99,,
